company,title,description,low_salary,high_salary,link,address,pcSkills,avg_salary,skills_tags
富邦人壽保險股份有限公司(總公司),【數位科技】資深數據分析師,"1.獨立依需求完成資料收集
2.獨立與使用者討論所要分析的項目
3.獨立進行基本的演算法智能項目",0,0,https://www.104.com.tw/job/8som9,台北市信義區,[],,NA
希格諾科技股份有限公司,韌體工程師 (工作地點高雄市苓雅區),"# 嵌入式 Linux 韌體工程師

工作內容：
1. 在嵌入式 Linux 平台（如 Jetson Nano / ARM SoC）上進行 C / C++ 與 Python 程式開發。
2. 開發與整合韌體功能模組，並進行 SDK 封裝與維護，提供應用層或客戶使用。
3. 整合與控制硬體週邊（UART、SPI、I2C、CAN、GPIO 等），確保系統穩定與效能最佳化。
4. 撰寫測試程式（Python / MATLAB），用於自動化測試與數據分析。
5. 撰寫與維護技術規格文件、API 文件與使用手冊。
6. 與硬體、軟體工程團隊合作，進行系統整合、功能驗證與除錯。

此職位具有穩定性和發展前景，歡迎對韌體開發有興趣的人加入我們的團隊。
如果您對此職位感興趣並符合資格，請盡快投遞您的履歷表，期待與您共事！",0,0,https://www.104.com.tw/job/8u7km,高雄市苓雅區,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001001042', 'description': 'Android'}, {'code': '12001002003', 'description': 'MCU'}, {'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12004001002', 'description': 'ARM'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003034', 'description': 'Matlab'}]",,"Linux, Android, MCU, C, C++, ARM, Python, Matlab"
群益金鼎證券股份有限公司,【資訊】AI工程師,"1 .工程、數學或統計相關背景
2. 熟悉各種深度學習與機器學習演算法
3. 熟悉資料前處理與特徵工程
4. 具備設計及訓練深度學習模型並進行調校的能力
5. 了解部署AI模型於實際應用技術
6. 協助跨部門進行AI技術整合經驗
7. 熟悉大語言",0,0,https://www.104.com.tw/job/8n8f4,台北市松山區,"[{'code': '12001003099', 'description': 'Prompt'}, {'code': '12001003097', 'description': 'LLM'}, {'code': '12001003045', 'description': 'Python'}]",,"Prompt, LLM, Python"
中國信託商業銀行股份有限公司,科技金融_資料工程師,"1. 負責需求分析與流程規劃，洞察潛在關鍵應用或數據，並運用內外部數據進行前期探索分析及策略建議。
2. 負責梳理並規劃機器學習研發資料庫架構，建立數據品質流程管理與維護計畫，掌握數據產品策略及生命週期。
3. 能將數據應用產品轉化為需求文件、系",0,0,https://www.104.com.tw/job/73am4,台北市南港區,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001005022', 'description': 'hadoop'}, {'code': '12003004004', 'description': 'Hive'}]",,"Python, MySQL, hadoop, Hive"
綠捷股份有限公司,【研發部】AI影像處理工程師-楊梅,"1.	熟悉OpenCV, YOLO, TensorFlow, PyTorch等開發工具。
2.	AI影像處理、電腦視覺、機器學習等開發經驗。
3.	能獨立開發與作業，撰寫相關文件及規格書。
4.	須配合出差、加班、現場測試調整、排除程式問題、蒐集",0,0,https://www.104.com.tw/job/8n40y,桃園市楊梅區,[],,NA
集星資通股份有限公司,產品專案經理,"◆工作內容
我們需要您對直播市場充滿熱情，專注於用戶體驗並以數據驅動研究，您必須具備強烈的成長心態，幫助團隊改進跨國用戶直播產品的體驗。

您將跨部門工作，並與跨國市場營銷、商務合作，規劃令人興奮的功能，定義里程碑，管理風險並加快新功能發佈時間。我們正在尋找具備強大產品規劃技能的你，平衡多個項目，擁抱不確定性和面對新挑戰。

◆主要職責
- 分析模式和產業趨勢，並識別新的產品機會，以提高產品新功能留存率。
- 徵求想法和反饋，收集需求，撰寫產品規格和工作流程，並協調跨部門甚至跨國團隊。
- 定義關鍵產品指標並監控產品性能。
- 與運營團隊、經紀部門合作，管理功能待辦事項、制定PRD和詳細規格。
- 與設計師、前後端工程師、TPM合作，安排開發項目優先級排序，規劃時間表且執行。

",50000,0,https://www.104.com.tw/job/8fx9x,台北市內湖區,"[{'code': '12001001002', 'description': 'Apple'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}, {'code': '12001008036', 'description': 'Scrum'}]",50000.0,"Apple, Excel, PowerPoint, Word, Scrum"
凱基證券股份有限公司,【凱基證券/數位創新部】數據工程師,"1. 資料倉儲等系統或機器學習建模之資料收集、開發處理與管理維護
2. 業務單位數據需求開發",0,0,https://www.104.com.tw/job/7jogm,台北市中正區,"[{'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004018', 'description': 'ETL'}]",,"MS SQL, Oracle, ETL"
台灣智慧雲端服務股份有限公司,(Presales)產業數位轉型顧問,"1. 提供產品售前Presales技術支援與問題分析，支援產品展示、功能說明與應用場景架構
2. 協助了解客戶需求及解決方案規劃，需求解析，轉化為產品與技術規格
3. 協助數位轉型及 AI 智慧應用導入資源整合與問題排解，確保產品/服務導入客戶端順暢並達成客戶預期
4. 協同外部夥伴及方案供應商與內部資源，規劃完整客戶端解決方案
5. 負責 RFI, RFP 專標案準備、撰寫專案提案簡報與建置規劃，產品價值與導入效益論述，確保符合客戶需求
6. 協助跟進解決回應客戶技術問題建立與維持良好客戶關係
7. 掌握市場趨勢與競品分析比較，論述公司產品的價值高度與技術優勢，提升成交率

#Presales #AI轉型顧問 #解決方案架構師

",0,0,https://www.104.com.tw/job/8r6jg,新北市淡水區,[],,NA
世界先進積體電路股份有限公司,VIS250110-【2026研發替代役RDSS】ERP系統維運工程師(新竹廠),"1.科系：碩士，資管、資工等相關系所。
2.班制：常日班。
3.工作內容：
(1) Oracle ERP及相關系統維運 ( Oracle Database、Java、.NET )
(2) 與使用者合作確認需求，設計資訊系統解決方案，完成軟體開發
(3) 應用新技術提高企業的決策能力 (AI、BI、自動化工具、行動裝置)
4.說明：
(1)請於履歷表中註明論文主題(方向)及所學專長。
(2)請檢附學士(含)以上之成績單。",0,0,https://www.104.com.tw/job/8twmz,新竹市,[],,NA
GARMIN_台灣國際航電股份有限公司,【全球智慧製造】資料科學工程師 Data Scientist,"據處理、機器學習和預測性分析等方面的技能，能夠從複雜的數據中識別關鍵洞見，提出可操作的解決方案。 

合作能力：
能夠有效地與不同部門合作，協調專案的進行。 

【工作內容】 
1.使用資料科學技巧，分析大量數據以尋找工廠運營的關鍵洞見 
2.依據",0,0,https://www.104.com.tw/job/70tf5,新北市新店區,"[{'code': '12001002018', 'description': 'Git'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12001011001', 'description': 'Tableau'}]",,"Git, Python, R, MS SQL, PL/SQL, Tableau"
